Line#,Temp,Pres,Velocity,Metallurgy,Size,WallThickne1,CR,DIS,Corr,Rem_Wall,Failures_Target
0001,475,125.2750663,19.16112013,1,1.5,0.145,0.0019,1978,0.0798,0.0652,1
0002,458,122.9965337,50.98986787,0,8,0.322,0.018,2007,0.234,0.088,1
0003,275,98.46879966,44.03792503,0,8,0.322,0.011,1981,0.429,0,0
0004,214,90.29288833,22.60055837,2,2,0.154,0.008,2005,0.12,0.034,1
0005,19,64.15677833,55.24868448,0,1.5,0.145,0,1979,0,0.145,1
0006,15,63.62065299,30.40539225,0,1,0.133,0,1978,0,0.133,1
0007,378,112.274027,63.64174067,1,1.5,0.145,0.0015,2005,0.0225,0.1225,1
0008,140,80.37456966,28.78967812,2,8,0.322,0.005,2002,0.09,0.232,1
0009,597,141.626889,40.71785625,2,1,0.133,0.023,2015,0.115,0.018,1
0010,544,134.5232283,41.85912553,2,2,0.154,0.021,2013,0.147,0.007,1
0011,72,71.26043899,39.23621599,0,1,0.133,0.002,1998,0.044,0.089,1
0012,82,72.60075233,23.21269972,2,6,0.28,0.003,2006,0.042,0.238,1
0013,199,88.28241833,60.54681504,1,6,0.28,0.0007,2020,0,0.28,1
0014,217,90.69498233,12.88435516,0,2,0.154,0.008,2016,0.032,0.122,1
0015,225,91.76723299,44.11866615,0,1.5,0.145,0.009,2008,0.108,0.037,1
0016,51,68.44578099,0.412256632,2,0.75,0.113,0.002,2014,0.012,0.101,1
0017,388,113.6143403,14.71073002,0,1.5,0.145,0.015,2002,0.27,0,0
0018,589,140.5546383,32.20528297,2,3,0.216,0.023,2003,0.391,0,0
0019,166,83.85938433,4.707452843,0,1.5,0.145,0.006,2020,0,0.145,1
0020,554,135.8635417,13.2397473,0,4,0.237,0.022,1996,0.528,0,0
0021,35,66.30127966,46.0853246,1,3,0.216,0.0001,1983,0.0037,0.2123,1
0022,451,122.0583143,4.235771466,2,3,0.216,0.018,2010,0.18,0.036,1
0023,100,75.01331633,48.83433994,0,3,0.216,0.004,2009,0.044,0.172,1
0024,396,114.686591,72.11059485,2,1,0.133,0.015,1976,0.66,0,0
0025,118,77.42588033,17.15848041,2,6,0.28,0.004,2003,0.068,0.212,1
0026,585,140.018513,12.63141361,2,10,0.365,0.023,2017,0.069,0.296,1
0027,349,108.3871183,71.25288477,1,3,0.216,0.0013,1983,0.0481,0.1679,1
0028,138,80.10650699,4.661848734,2,10,0.365,0.005,1989,0.155,0.21,1
0029,332,106.1085857,27.67619816,0,1,0.133,0.013,1984,0.468,0,0
0030,549,135.193385,49.38333199,1,2,0.154,0.0021,2004,0.0336,0.1204,1
0031,196,87.88032433,45.28110461,0,10,0.365,0.007,1979,0.287,0.078,1
0032,364,110.3975883,0.770856234,2,3,0.216,0.014,1984,0.504,0,0
0033,375,111.871933,60.47587443,0,3,0.216,0.015,1987,0.495,0,0
0034,525,131.976633,54.42191393,0,8,0.322,0.021,2011,0.189,0.133,1
0035,515,130.6363197,68.8068991,0,2,0.154,0.02,1982,0.76,0,0
0036,106,75.81750433,54.95496465,1,10,0.365,0.0004,1977,0.0172,0.3478,1
0037,366,110.665651,6.553840138,2,3,0.216,0.014,2002,0.252,0,0
0038,188,86.80807366,59.40443921,0,8,0.322,0.007,2013,0.049,0.273,1
0039,58,69.38400033,12.14157232,1,3,0.216,0.0002,2019,0.0002,0.2158,1
0040,365,110.5316197,14.40905975,1,1.5,0.145,0.0014,1993,0.0378,0.1072,1
0041,583,139.7504503,11.93710666,0,2,0.154,0.023,1985,0.805,0,0
0042,484,126.4813483,7.686047934,0,1.5,0.145,0.019,2017,0.057,0.088,1
0043,418,117.6352803,24.95385585,2,0.75,0.113,0.016,1985,0.56,0,0
0044,12,63.21855899,31.71277455,2,1,0.133,0,2016,0,0.133,1
0045,532,132.9148523,11.08351462,1,1.5,0.145,0.0021,2000,0.042,0.103,1
0046,167,83.99341566,34.21400692,2,6,0.28,0.006,1984,0.216,0.064,1
0047,233,92.83948366,52.72678103,1,8,0.322,0.0009,1999,0.0189,0.3031,1
0048,73,71.39447033,66.43321722,1,8,0.322,0.0002,2014,0.0012,0.3208,1
0049,340,107.1808363,42.79937425,0,2,0.154,0.013,2006,0.182,0,0
0050,314,103.6960217,66.46095356,1,10,0.365,0.0012,2008,0.0144,0.3506,1
0051,31,65.76515433,64.24265124,1,8,0.322,0.0001,2019,0.0001,0.3219,1
0052,348,108.253087,22.6214455,0,3,0.216,0.013,1993,0.351,0,0
0053,69,70.85834499,45.84247824,2,0.75,0.113,0.002,1997,0.046,0.067,1
0054,379,112.4080583,34.54804587,1,10,0.365,0.0015,1977,0.0645,0.3005,1
0055,332,106.1085857,71.60111958,0,8,0.322,0.013,2017,0.039,0.283,1
0056,183,86.13791699,12.34250084,1,0.75,0.113,0.0007,1979,0.0287,0.0843,1
0057,205,89.08660633,5.391501071,0,6,0.28,0.008,2019,0.008,0.272,1
0058,58,69.38400033,17.47565495,2,8,0.322,0.002,1989,0.062,0.26,1
0059,442,120.8520323,49.23752742,0,1,0.133,0.017,1984,0.612,0,0
0060,324,105.036335,62.9720834,0,8,0.322,0.012,1978,0.504,0,0
0061,429,119.109625,33.34897126,0,1.5,0.145,0.017,1983,0.629,0,0
0062,485,126.6153797,7.139869057,2,10,0.365,0.019,2000,0.38,0,0
0063,585,140.018513,15.80299264,0,0.75,0.113,0.023,1988,0.736,0,0
0064,20,64.29080966,60.62230363,1,1.5,0.145,0,1980,0,0.145,1
0065,399,115.088685,17.45897772,0,4,0.237,0.015,2012,0.12,0.117,1
0066,462,123.532659,67.03577582,1,0.75,0.113,0.0018,2013,0.0126,0.1004,1
0067,576,138.812231,54.24607871,2,1,0.133,0.023,1979,0.943,0,0
0068,446,121.3881577,29.28819083,1,1,0.133,0.0017,1992,0.0476,0.0854,1
0069,6,62.41437099,14.99637314,2,1,0.133,0,1999,0,0.133,1
0070,243,94.17979699,12.14517147,0,2,0.154,0.009,1994,0.234,0,0
0071,399,115.088685,45.45491045,2,3,0.216,0.015,2012,0.12,0.096,1
0072,260,96.45832966,65.80740941,2,0.75,0.113,0.01,1983,0.37,0,0
0073,447,121.522189,65.02116589,2,3,0.216,0.017,2018,0.034,0.182,1
0074,474,125.141035,36.55435455,1,8,0.322,0.0018,1995,0.045,0.277,1
0075,56,69.11593766,52.67136042,0,8,0.322,0.002,1985,0.07,0.252,1
0076,554,135.8635417,1.519292153,0,10,0.365,0.022,2018,0.044,0.321,1
0077,459,123.130565,31.13119059,2,6,0.28,0.018,2010,0.18,0.1,1
0078,269,97.66461166,69.53352019,2,1.5,0.145,0.01,1979,0.41,0,0
0079,244,94.31382833,24.76780359,0,2,0.154,0.009,1994,0.234,0,0
0080,238,93.50964033,13.62947597,2,2,0.154,0.009,1978,0.378,0,0
0081,442,120.8520323,64.1587807,0,2,0.154,0.017,1998,0.374,0,0
0082,1,61.74421433,67.93171055,1,10,0.365,0,2012,0,0.365,1
0083,238,93.50964033,6.039960458,2,6,0.28,0.009,2004,0.144,0.136,1
0084,558,136.399667,59.88803381,1,2,0.154,0.0022,1981,0.0858,0.0682,1
0085,521,131.4405077,42.08357616,1,0.75,0.113,0.002,1993,0.054,0.059,1
0086,317,104.0981157,65.33335619,0,1,0.133,0.012,1976,0.528,0,0
0087,439,120.4499383,70.28625968,0,6,0.28,0.017,1980,0.68,0,0
0088,97,74.61122233,1.342734864,0,10,0.365,0.003,2008,0.036,0.329,1
