Line#,Temp,Pres,Velocity,Metallurgy,Size,WallThickne1,Failures_Target
0001,475,125.2750663,19.16112013,1,1.5,0.145,1
0002,458,122.9965337,50.98986787,0,8,0.322,0
0003,275,98.46879966,44.03792503,0,8,0.322,0
0004,214,90.29288833,22.60055837,2,2,0.154,0
0005,19,64.15677833,55.24868448,0,1.5,0.145,0
0006,15,63.62065299,30.40539225,0,1,0.133,0
0007,378,112.274027,63.64174067,1,1.5,0.145,1
0008,140,80.37456966,28.78967812,2,8,0.322,0
0009,597,141.626889,40.71785625,2,1,0.133,0
0010,544,134.5232283,41.85912553,2,2,0.154,0
0011,72,71.26043899,39.23621599,0,1,0.133,1
0012,82,72.60075233,23.21269972,2,6,0.28,0
0013,199,88.28241833,60.54681504,1,6,0.28,1
0014,217,90.69498233,12.88435516,0,2,0.154,1
0015,225,91.76723299,44.11866615,0,1.5,0.145,0
0016,51,68.44578099,0.412256632,2,0.75,0.113,1
0017,388,113.6143403,14.71073002,0,1.5,0.145,0
0018,589,140.5546383,32.20528297,2,3,0.216,0
0019,166,83.85938433,4.707452843,0,1.5,0.145,0
0020,554,135.8635417,13.2397473,0,4,0.237,0
0021,35,66.30127966,46.0853246,1,3,0.216,1
0022,451,122.0583143,4.235771466,2,3,0.216,0
0023,100,75.01331633,48.83433994,0,3,0.216,0
0024,396,114.686591,72.11059485,2,1,0.133,0
0025,118,77.42588033,17.15848041,2,6,0.28,1
0026,585,140.018513,12.63141361,2,10,0.365,0
0027,349,108.3871183,71.25288477,1,3,0.216,1
0028,138,80.10650699,4.661848734,2,10,0.365,1
0029,332,106.1085857,27.67619816,0,1,0.133,0
0030,549,135.193385,49.38333199,1,2,0.154,0
0031,196,87.88032433,45.28110461,0,10,0.365,0
0032,364,110.3975883,0.770856234,2,3,0.216,1
0033,375,111.871933,60.47587443,0,3,0.216,0
0034,525,131.976633,54.42191393,0,8,0.322,0
0035,515,130.6363197,68.8068991,0,2,0.154,0
0036,106,75.81750433,54.95496465,1,10,0.365,1
0037,366,110.665651,6.553840138,2,3,0.216,0
0038,188,86.80807366,59.40443921,0,8,0.322,1
0039,58,69.38400033,12.14157232,1,3,0.216,1
0040,365,110.5316197,14.40905975,1,1.5,0.145,1
0041,583,139.7504503,11.93710666,0,2,0.154,0
0042,484,126.4813483,7.686047934,0,1.5,0.145,0
0043,418,117.6352803,24.95385585,2,0.75,0.113,0
0044,12,63.21855899,31.71277455,2,1,0.133,0
0045,532,132.9148523,11.08351462,1,1.5,0.145,0
0046,167,83.99341566,34.21400692,2,6,0.28,1
0047,233,92.83948366,52.72678103,1,8,0.322,1
0048,73,71.39447033,66.43321722,1,8,0.322,1
0049,340,107.1808363,42.79937425,0,2,0.154,0
0050,314,103.6960217,66.46095356,1,10,0.365,1
0051,31,65.76515433,64.24265124,1,8,0.322,1
0052,348,108.253087,22.6214455,0,3,0.216,0
0053,69,70.85834499,45.84247824,2,0.75,0.113,0
0054,379,112.4080583,34.54804587,1,10,0.365,1
0055,332,106.1085857,71.60111958,0,8,0.322,0
0056,183,86.13791699,12.34250084,1,0.75,0.113,1
0057,205,89.08660633,5.391501071,0,6,0.28,1
0058,58,69.38400033,17.47565495,2,8,0.322,0
0059,442,120.8520323,49.23752742,0,1,0.133,0
0060,324,105.036335,62.9720834,0,8,0.322,0
0061,429,119.109625,33.34897126,0,1.5,0.145,0
0062,485,126.6153797,7.139869057,2,10,0.365,1
0063,585,140.018513,15.80299264,0,0.75,0.113,0
0064,20,64.29080966,60.62230363,1,1.5,0.145,1
0065,399,115.088685,17.45897772,0,4,0.237,0
0066,462,123.532659,67.03577582,1,0.75,0.113,1
0067,576,138.812231,54.24607871,2,1,0.133,0
0068,446,121.3881577,29.28819083,1,1,0.133,1
0069,6,62.41437099,14.99637314,2,1,0.133,1
0070,243,94.17979699,12.14517147,0,2,0.154,0
0071,399,115.088685,45.45491045,2,3,0.216,0
0072,260,96.45832966,65.80740941,2,0.75,0.113,1
0073,447,121.522189,65.02116589,2,3,0.216,0
0074,474,125.141035,36.55435455,1,8,0.322,1
0075,56,69.11593766,52.67136042,0,8,0.322,0
0076,554,135.8635417,1.519292153,0,10,0.365,1
0077,459,123.130565,31.13119059,2,6,0.28,0
0078,269,97.66461166,69.53352019,2,1.5,0.145,0
0079,244,94.31382833,24.76780359,0,2,0.154,1
0080,238,93.50964033,13.62947597,2,2,0.154,1
0081,442,120.8520323,64.1587807,0,2,0.154,0
0082,1,61.74421433,67.93171055,1,10,0.365,1
0083,238,93.50964033,6.039960458,2,6,0.28,1
0084,558,136.399667,59.88803381,1,2,0.154,0
0085,521,131.4405077,42.08357616,1,0.75,0.113,0
0086,317,104.0981157,65.33335619,0,1,0.133,0
0087,439,120.4499383,70.28625968,0,6,0.28,0
0088,97,74.61122233,1.342734864,0,10,0.365,0
0089,576,138.812231,29.33229197,1,4,0.237,1
0090,414,117.099155,47.78417607,0,3,0.216,0
0091,303,102.221677,17.03652302,0,2,0.154,0
0092,433,119.6457503,60.65483347,1,3,0.216,1
0093,387,113.480309,3.273388187,0,2,0.154,0
0094,502,128.8939123,19.52191103,2,3,0.216,0
0095,165,83.72535299,48.33932922,0,1.5,0.145,0
0096,79,72.19865833,42.81673316,1,3,0.216,1
0097,561,136.801761,51.06910058,1,6,0.28,1
0098,372,111.469839,12.53552278,1,10,0.365,1
0099,483,126.347317,34.63756797,2,6,0.28,0
0100,47,67.90965566,38.9176784,2,8,0.322,1
